task_name,instance_num,job_name,task_type,status,start_time,end_time,plan_cpu,plan_mem,duration
R2_1,0.0,j_8,1.0,Terminated,316284.0,316295.0,0.2456635586004333,0.12809836121440454,0.996762571723191
R7_6,0.0003114052160373686,j_8,1.0,Terminated,316284.0,316305.0,0.2456635586004333,0.1936548754088102,0.9967783872008501
R4_3,0.0,j_8,1.0,Terminated,316284.0,316295.0,0.2456635586004333,0.12809836121440454,0.996762571723191
R14_13,0.0,j_8,1.0,Terminated,316284.0,316310.0,0.2456635586004333,0.12809836121440454,0.9967862949396796
R9_8,0.0,j_8,1.0,Terminated,316284.0,316294.0,0.2456635586004333,0.12809836121440454,0.9967609901754252
R17_16,0.0,j_8,1.0,Terminated,316284.0,316310.0,0.2456635586004333,0.12809836121440454,0.9967862949396796
M3,0.0,j_8,1.0,Terminated,316284.0,316295.0,0.2456635586004333,0.12809836121440454,0.996762571723191
M4_3,0.0,j_15,1.0,Terminated,119444.0,119493.0,0.4971090390669555,0.1936548754088102,0.9968226705382955
M1,0.0,j_15,1.0,Terminated,119444.0,119471.0,0.4971090390669555,0.1936548754088102,0.9967878764874456
R3_2,0.0,j_15,1.0,Terminated,119444.0,119471.0,0.4971090390669555,0.25265573818377535,0.9967878764874456
R5_4,0.0,j_15,1.0,Terminated,119444.0,119493.0,0.4971090390669555,0.25265573818377535,0.9968226705382955
R2_1,0.0,j_15,1.0,Terminated,119444.0,119471.0,0.4971090390669555,0.31821225237818096,0.9967878764874456
M1,0.0,j_16,1.0,Terminated,209345.0,209349.0,0.2456635586004333,0.25265573818377535,0.9967515008888298
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,0.0,j_17,10.0,Terminated,580371.0,580515.0,0.3713862988336944,0.06254184701999888,0.9969729175760565
M1,7.785130400934215e-05,j_25,1.0,Terminated,222975.0,222978.0,0.4971090390669555,0.1936548754088102,0.9967499193410638
R2_1,0.0,j_25,1.0,Terminated,222975.0,222978.0,0.4971090390669555,0.31821225237818096,0.9967499193410638
R3_2,0.0,j_25,1.0,Terminated,222975.0,222978.0,0.4971090390669555,0.25265573818377535,0.9967499193410638
M1,0.0,j_30,1.0,Terminated,97678.0,97679.0,0.4971090390669555,0.12809836121440454,0.996746756245532
R3_2,0.0,j_31,1.0,Terminated,188349.0,188357.0,0.2456635586004333,0.12809836121440454,0.9967578270798934
M1,0.0,j_31,1.0,Terminated,188349.0,188354.0,0.2456635586004333,0.12809836121440454,0.9967530824365957
R2_1,0.0,j_31,1.0,Terminated,188349.0,188355.0,0.2456635586004333,0.12809836121440454,0.9967546639843615
M1,0.0,j_34,1.0,Terminated,669954.0,669955.0,0.4971090390669555,0.1936548754088102,0.996746756245532
M3,0.007707279096924873,j_34,1.0,Terminated,669954.0,669965.0,0.4971090390669555,0.1936548754088102,0.996762571723191
R7_6,0.0,j_34,1.0,Terminated,669954.0,669956.0,0.4971090390669555,0.25265573818377535,0.996748337793298
M8_5_7,0.010899182561307902,j_34,1.0,Terminated,669954.0,669976.0,0.4971090390669555,0.1936548754088102,0.9967799687486161
J9_2_3_8,0.018840015570260802,j_34,1.0,Terminated,669954.0,669988.0,0.4971090390669555,0.38376876657258663,0.996798947321807
R10_9,0.018840015570260802,j_34,1.0,Terminated,669954.0,670005.0,0.4971090390669555,0.25265573818377535,0.9968258336338274
M6,0.0,j_34,1.0,Terminated,669954.0,669955.0,0.4971090390669555,0.1936548754088102,0.996746756245532
R2_1,0.0,j_34,1.0,Terminated,669954.0,669962.0,0.4971090390669555,0.25265573818377535,0.9967578270798934
R5_4,0.0,j_34,1.0,Terminated,669954.0,669956.0,0.4971090390669555,0.25265573818377535,0.996748337793298
M4,0.0,j_34,1.0,Terminated,669954.0,669955.0,0.4971090390669555,0.1936548754088102,0.996746756245532
M1,0.0,j_35,1.0,Terminated,420324.0,420328.0,0.2456635586004333,0.1936548754088102,0.9967515008888298
M1,0.0,j_37,1.0,Terminated,416079.0,416079.0,0.4971090390669555,0.12809836121440454,0.9967451746977661
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,0.0,j_39,6.0,Terminated,675912.0,675918.0,0.14508536641382438,0.029763589922796048,0.9967546639843615
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,0.0,j_39,6.0,Terminated,675912.0,675920.0,0.01936262618056325,0.01665228708391491,0.9967578270798934
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,0.0,j_39,6.0,Terminated,675912.0,675915.0,0.04450717422721548,0.029763589922796048,0.9967499193410638
J6_2_5,0.0001557026080186843,j_49,1.0,Terminated,231440.0,231727.0,0.4971090390669555,0.38376876657258663,0.997199078906581
M3,0.0,j_49,1.0,Terminated,231440.0,231440.0,0.4971090390669555,0.1936548754088102,0.9967451746977661
M5_4,0.0,j_49,1.0,Terminated,231440.0,231492.0,0.4971090390669555,0.1936548754088102,0.9968274151815932
R7_6,0.0001557026080186843,j_49,1.0,Terminated,231440.0,231727.0,0.4971090390669555,0.25265573818377535,0.997199078906581
R2_1,0.0,j_49,1.0,Terminated,231440.0,231441.0,0.4971090390669555,0.25265573818377535,0.996746756245532
M1,0.0,j_49,1.0,Terminated,231440.0,231441.0,0.4971090390669555,0.1936548754088102,0.996746756245532
R4_3,0.0,j_49,1.0,Terminated,231440.0,231440.0,0.4971090390669555,0.25265573818377535,0.9967451746977661
R2_1,0.0,j_52,1.0,Terminated,545783.0,545784.0,0.2456635586004333,0.12809836121440454,0.996746756245532
M1,0.0,j_52,1.0,Terminated,545783.0,545784.0,0.2456635586004333,0.12809836121440454,0.996746756245532
M1,0.0,j_53,1.0,Terminated,546934.0,546950.0,0.2456635586004333,0.12809836121440454,0.9967704794620206
M1,0.0,j_60,1.0,Terminated,274091.0,274102.0,0.4971090390669555,0.12809836121440454,0.996762571723191
M1,0.0,j_65,1.0,Terminated,416794.0,416794.0,0.4971090390669555,0.12809836121440454,0.9967451746977661
M2,0.0,j_66,1.0,Terminated,178509.0,178513.0,0.2456635586004333,0.1936548754088102,0.9967515008888298
J3_1_2,0.0,j_66,1.0,Terminated,178509.0,178533.0,0.2456635586004333,0.1936548754088102,0.9967831318441479
M1,0.00023355391202802646,j_66,1.0,Terminated,178509.0,178522.0,0.2456635586004333,0.25265573818377535,0.9967657348187229
M1,0.0,j_67,1.0,Terminated,618233.0,618234.0,0.4971090390669555,0.12809836121440454,0.996746756245532
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,0.0,j_69,10.0,Failed,243225.0,243228.0,0.4971090390669555,0.06254184701999888,0.9967499193410638
M1,0.0,j_73,1.0,Terminated,363607.0,363608.0,0.4971090390669555,0.1936548754088102,0.996746756245532
R3_2,0.0,j_73,1.0,Terminated,363607.0,363608.0,0.4971090390669555,0.31821225237818096,0.996746756245532
R2_1,0.0,j_73,1.0,Terminated,363607.0,363608.0,0.4971090390669555,0.31821225237818096,0.996746756245532
R4_3,0.0,j_73,1.0,Terminated,363607.0,363608.0,0.4971090390669555,0.31821225237818096,0.996746756245532
R5_4,0.0,j_73,1.0,Terminated,363607.0,363608.0,0.4971090390669555,0.25265573818377535,0.996746756245532
R3_2,0.0,j_76,1.0,Terminated,633313.0,633318.0,0.4971090390669555,0.31821225237818096,0.9967530824365957
R4_3,0.0,j_76,1.0,Terminated,633313.0,633318.0,0.4971090390669555,0.25265573818377535,0.9967530824365957
M1,0.0007785130400934216,j_76,1.0,Terminated,633313.0,633318.0,0.4971090390669555,0.1936548754088102,0.9967530824365957
R2_1,0.0003114052160373686,j_76,1.0,Terminated,633313.0,633318.0,0.4971090390669555,0.31821225237818096,0.9967530824365957
R2_1,0.0,j_78,1.0,Terminated,175026.0,175026.0,0.4971090390669555,0.25265573818377535,0.9967451746977661
M1,0.0,j_78,1.0,Terminated,175026.0,175026.0,0.4971090390669555,0.1936548754088102,0.9967451746977661
J7_5_6,0.0001557026080186843,j_79,1.0,Terminated,349657.0,349662.0,0.4971090390669555,0.38376876657258663,0.9967530824365957
M4_1_2_3,0.0001557026080186843,j_79,1.0,Terminated,349657.0,349662.0,0.4971090390669555,0.1936548754088102,0.9967530824365957
M5,0.0,j_79,1.0,Terminated,349657.0,349658.0,0.4971090390669555,0.1936548754088102,0.996746756245532
R2_5,0.0,j_79,1.0,Terminated,349657.0,349658.0,0.4971090390669555,0.25265573818377535,0.996746756245532
M6,0.0,j_79,1.0,Terminated,349657.0,349660.0,0.4971090390669555,0.1936548754088102,0.9967499193410638
R1_5,0.0,j_79,1.0,Terminated,349657.0,349658.0,0.4971090390669555,0.25265573818377535,0.996746756245532
R8_4_7,0.00046710782405605297,j_79,1.0,Terminated,349657.0,349663.0,0.4971090390669555,0.25265573818377535,0.9967546639843615
R3_5,0.0,j_79,1.0,Terminated,349657.0,349659.0,0.4971090390669555,0.25265573818377535,0.996748337793298
R2_1,0.0,j_81,1.0,Terminated,443709.0,443732.0,0.2456635586004333,0.12809836121440454,0.9967815502963819
M1,0.0,j_81,1.0,Terminated,443709.0,443729.0,0.2456635586004333,0.12809836121440454,0.9967768056530842
R2_1,0.0,j_82,1.0,Terminated,609606.0,609624.0,0.2456635586004333,0.12809836121440454,0.9967736425575524
M3,0.00833008952899961,j_82,1.0,Terminated,609606.0,609661.0,0.2456635586004333,0.38376876657258663,0.9968321598248909
J4_2_3,0.004671078240560529,j_82,1.0,Terminated,609606.0,609715.0,0.2456635586004333,0.25265573818377535,0.9969175634042499
M1,0.0,j_82,1.0,Terminated,609606.0,609616.0,0.2456635586004333,0.25265573818377535,0.9967609901754252
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,0.0,j_85,6.0,Running,474800.0,0.0,0.0,0.0,0.24582629544577506
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,0.0,j_85,6.0,Running,474800.0,0.0,0.0,0.0,0.24582629544577506
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,0.0,j_85,6.0,Terminated,474800.0,475186.0,0.04450717422721548,0.029763589922796048,0.9973556521354057
R4_3,0.0001557026080186843,j_87,1.0,Terminated,444270.0,444277.0,0.4971090390669555,0.25265573818377535,0.9967562455321275
M3_2,0.0001557026080186843,j_87,1.0,Terminated,444270.0,444277.0,0.4971090390669555,0.1936548754088102,0.9967562455321275
M1,0.0,j_87,1.0,Terminated,444270.0,444271.0,0.4971090390669555,0.1936548754088102,0.996746756245532
R2_1,0.0,j_87,1.0,Terminated,444270.0,444272.0,0.4971090390669555,0.25265573818377535,0.996748337793298
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,0.0,j_88,3.0,Terminated,248934.0,249248.0,0.4971090390669555,0.25265573818377535,0.9972417806962605
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,0.0,j_88,3.0,Terminated,248934.0,248938.0,0.4971090390669555,0.25265573818377535,0.9967515008888298
R2_1,0.0,j_89,1.0,Terminated,212262.0,212262.0,0.4971090390669555,0.31821225237818096,0.9967451746977661
R3_2,0.0,j_89,1.0,Terminated,212262.0,212286.0,0.4971090390669555,0.25265573818377535,0.9967831318441479
M1,0.0,j_89,1.0,Terminated,212262.0,212262.0,0.4971090390669555,0.1936548754088102,0.9967451746977661
R9_8,0.0007785130400934216,j_90,1.0,Terminated,645686.0,645718.0,0.4971090390669555,0.25265573818377535,0.9967957842262751
M2,0.0,j_90,1.0,Terminated,645686.0,645687.0,0.4971090390669555,0.1936548754088102,0.996746756245532
R6_5,0.0,j_90,1.0,Terminated,645686.0,645692.0,0.4971090390669555,0.48210353786419513,0.9967546639843615
M4,0.0,j_90,1.0,Terminated,645686.0,645687.0,0.4971090390669555,0.1936548754088102,0.996746756245532
M5,0.0,j_90,1.0,Terminated,645686.0,645688.0,0.4971090390669555,0.1936548754088102,0.996748337793298
R7_6,0.0,j_90,1.0,Terminated,645686.0,645693.0,0.4971090390669555,0.31821225237818096,0.9967562455321275
R3_2,0.0,j_90,1.0,Terminated,645686.0,645688.0,0.4971090390669555,0.31821225237818096,0.996748337793298
M1,0.0005449591280653951,j_90,1.0,Terminated,645686.0,645702.0,0.4971090390669555,0.1936548754088102,0.9967704794620206
J8_1_3_4_7,0.0007785130400934216,j_90,1.0,Terminated,645686.0,645718.0,0.4971090390669555,0.38376876657258663,0.9967957842262751
M1,0.00023355391202802646,j_92,1.0,Terminated,100502.0,100510.0,0.2456635586004333,0.25265573818377535,0.9967578270798934
MergeTask,0.0,j_94,1.0,Terminated,360144.0,360147.0,0.4971090390669555,0.06254184701999888,0.9967499193410638
R7_9,0.0,j_95,1.0,Terminated,412627.0,412629.0,0.4971090390669555,0.31821225237818096,0.996748337793298
J4_3_9,0.0001557026080186843,j_95,1.0,Terminated,412627.0,412640.0,0.4971090390669555,0.38376876657258663,0.9967657348187229
R15_14,0.0,j_95,1.0,Terminated,412627.0,412640.0,0.4971090390669555,0.25265573818377535,0.9967657348187229
M2,0.0,j_95,1.0,Terminated,412627.0,412636.0,0.4971090390669555,0.1936548754088102,0.9967594086276593
R1_2,0.0,j_95,1.0,Terminated,412627.0,412636.0,0.4971090390669555,0.31821225237818096,0.9967594086276593
J5_4_12,0.0010899182561307902,j_95,1.0,Terminated,412627.0,412640.0,0.4971090390669555,0.38376876657258663,0.9967657348187229
M12_8_11,0.0001557026080186843,j_95,1.0,Terminated,412627.0,412630.0,0.4971090390669555,0.1936548754088102,0.9967499193410638
R10_9,0.0,j_95,1.0,Terminated,412627.0,412629.0,0.4971090390669555,0.31821225237818096,0.996748337793298
R11_10,0.0,j_95,1.0,Terminated,412627.0,412629.0,0.4971090390669555,0.25265573818377535,0.996748337793298
R3_2,0.0,j_95,1.0,Terminated,412627.0,412640.0,0.4971090390669555,0.31821225237818096,0.9967657348187229
J14_1_6_13,0.0014013234721681588,j_95,1.0,Terminated,412627.0,412640.0,0.4971090390669555,0.38376876657258663,0.9967657348187229
R13_12,0.0001557026080186843,j_95,1.0,Terminated,412627.0,412630.0,0.4971090390669555,0.31821225237818096,0.9967499193410638
M9,0.0,j_95,1.0,Terminated,412627.0,412629.0,0.4971090390669555,0.1936548754088102,0.996748337793298
R6_5,0.0010899182561307902,j_95,1.0,Terminated,412627.0,412640.0,0.4971090390669555,0.31821225237818096,0.9967657348187229
R8_7,0.0,j_95,1.0,Terminated,412627.0,412629.0,0.4971090390669555,0.25265573818377535,0.996748337793298
R2_1,0.0,j_97,1.0,Terminated,285823.0,285824.0,0.4971090390669555,0.25265573818377535,0.996746756245532
M3_2,0.0,j_97,1.0,Terminated,285823.0,285830.0,0.4971090390669555,0.1936548754088102,0.9967562455321275
M1,0.0,j_97,1.0,Terminated,285823.0,285824.0,0.4971090390669555,0.1936548754088102,0.996746756245532
R4_3,0.0,j_97,1.0,Terminated,285823.0,285830.0,0.4971090390669555,0.25265573818377535,0.9967562455321275
M1,0.0,j_98,1.0,Terminated,347368.0,347372.0,0.4971090390669555,0.1936548754088102,0.9967515008888298
R2_1,0.0,j_98,1.0,Terminated,347372.0,347375.0,0.4971090390669555,0.25265573818377535,0.9967499193410638
M1,7.785130400934215e-05,j_102,1.0,Terminated,118960.0,119057.0,0.2456635586004333,0.25265573818377535,0.996898584831059
M11,0.019462826002335537,j_102,1.0,Terminated,118960.0,119151.0,0.2456635586004333,0.4493252807669923,0.9970472503210541
J6_5_13,0.0003114052160373686,j_102,1.0,Terminated,118960.0,119274.0,0.2456635586004333,0.25265573818377535,0.9972417806962605
J13_10_11_12,0.021798365122615803,j_102,1.0,Terminated,118960.0,119242.0,0.2456635586004333,0.25265573818377535,0.9971911711677515
R8_7,0.0,j_102,1.0,Terminated,118960.0,119294.0,0.2456635586004333,0.12809836121440454,0.9972734116515786
R3_2,0.0,j_102,1.0,Terminated,118960.0,119265.0,0.2456635586004333,0.12809836121440454,0.9972275467663674
M5,0.0009342156481121058,j_102,1.0,Terminated,118960.0,119024.0,0.2456635586004333,0.25265573818377535,0.9968463937547841
R4_3,0.0,j_102,1.0,Terminated,118960.0,119584.0,0.2456635586004333,0.12809836121440454,0.9977320605036912
R10_9,0.0,j_102,1.0,Terminated,118960.0,118974.0,0.2456635586004333,0.12809836121440454,0.9967673163664889
R14_13,0.0,j_102,1.0,Terminated,118960.0,119249.0,0.2456635586004333,0.12809836121440454,0.9972022420021128
R7_6,0.0,j_102,1.0,Terminated,118960.0,119283.0,0.2456635586004333,0.12809836121440454,0.9972560146261537
M12,0.0006228104320747372,j_102,1.0,Terminated,118960.0,119019.0,0.2456635586004333,0.25265573818377535,0.9968384860159546
J2_1_13,0.0,j_102,1.0,Terminated,118960.0,119251.0,0.2456635586004333,0.12809836121440454,0.9972054050976447
R15_14,0.0,j_102,1.0,Terminated,118960.0,119259.0,0.2456635586004333,0.12809836121440454,0.9972180574797719
J16_4_8_15,0.0,j_102,1.0,Terminated,118960.0,119593.0,0.2456635586004333,0.12809836121440454,0.9977462944335844
M9,0.0,j_102,1.0,Terminated,118960.0,118967.0,0.2456635586004333,0.12809836121440454,0.9967562455321275
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,0.0,j_106,6.0,Terminated,510707.0,510714.0,0.04450717422721548,0.029763589922796048,0.9967562455321275
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,0.0,j_106,6.0,Terminated,510707.0,510752.0,0.01936262618056325,0.01665228708391491,0.9968163443472319
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,0.002101985208252238,j_106,6.0,Terminated,510707.0,510749.0,0.14508536641382438,0.029763589922796048,0.9968115997039342
M1,0.0,j_110,1.0,Terminated,629449.0,629464.0,0.4971090390669555,0.16087661831160738,0.9967688979142547
M1,0.0,j_113,1.0,Terminated,443416.0,443417.0,0.4971090390669555,0.12809836121440454,0.996746756245532
M1,7.785130400934215e-05,j_119,1.0,Terminated,352583.0,352584.0,0.2456635586004333,0.12809836121440454,0.996746756245532
R2_1,0.0,j_119,1.0,Terminated,352583.0,352584.0,0.2456635586004333,0.12809836121440454,0.996746756245532
M1,0.0,j_121,1.0,Terminated,444986.0,444987.0,0.4971090390669555,0.12809836121440454,0.996746756245532
M1,0.0,j_126,1.0,Terminated,416944.0,416944.0,0.4971090390669555,0.12809836121440454,0.9967451746977661
M11,0.12214869599065785,j_127,1.0,Terminated,160404.0,160433.0,0.4971090390669555,0.31821225237818096,0.9967910395829774
J9_7_8,0.0,j_127,1.0,Terminated,160422.0,160428.0,0.4971090390669555,0.38376876657258663,0.9967546639843615
R5_4,0.0,j_127,1.0,Terminated,160408.0,160411.0,0.4971090390669555,0.31821225237818096,0.9967499193410638
M7_6,0.0001557026080186843,j_127,1.0,Terminated,160416.0,160422.0,0.4971090390669555,0.1936548754088102,0.9967546639843615
J14_3_13,0.0009342156481121058,j_127,1.0,Terminated,160774.0,160799.0,0.4971090390669555,0.38376876657258663,0.9967847133919138
J16_1_7_15,0.0,j_127,1.0,Terminated,160824.0,160869.0,0.4971090390669555,0.31821225237818096,0.9968163443472319
M4,0.0,j_127,1.0,Terminated,160404.0,160407.0,0.4971090390669555,0.1936548754088102,0.9967499193410638
R13_10_12,0.0022576878162709224,j_127,1.0,Terminated,160741.0,160774.0,0.4971090390669555,0.31821225237818096,0.996797365774041
R15_14,0.0,j_127,1.0,Terminated,160799.0,160823.0,0.4971090390669555,0.31821225237818096,0.9967831318441479
R12_11,0.00864149474503698,j_127,1.0,Terminated,160434.0,160464.0,0.4971090390669555,0.31821225237818096,0.9967926211307433
R1_4,0.0,j_127,1.0,Terminated,160408.0,160412.0,0.4971090390669555,0.31821225237818096,0.9967515008888298
M8,0.0,j_127,1.0,Terminated,160404.0,160417.0,0.4971090390669555,0.31821225237818096,0.9967657348187229
M2,0.0006228104320747372,j_127,1.0,Terminated,160404.0,160412.0,0.4971090390669555,0.1936548754088102,0.9967578270798934
R6_5,0.0,j_127,1.0,Terminated,160411.0,160416.0,0.4971090390669555,0.25265573818377535,0.9967530824365957
R10_9,0.0,j_127,1.0,Terminated,160428.0,160740.0,0.4971090390669555,0.31821225237818096,0.9972386176007287
R3_2,0.0,j_127,1.0,Terminated,160413.0,160439.0,0.4971090390669555,0.31821225237818096,0.9967862949396796
M1,0.0,j_129,1.0,Terminated,455911.0,455918.0,0.4971090390669555,0.1936548754088102,0.9967562455321275
M3_2,0.17298559750875828,j_129,1.0,Terminated,455926.0,455963.0,0.4971090390669555,0.12809836121440454,0.9968036919651047
R2_1,0.0,j_129,1.0,Terminated,455918.0,455925.0,0.4971090390669555,0.25265573818377535,0.9967562455321275
R2_1,0.0,j_130,1.0,Terminated,685036.0,685109.0,0.4971090390669555,0.31821225237818096,0.9968606276846772
R4_3,0.0,j_130,1.0,Terminated,685036.0,685109.0,0.4971090390669555,0.25265573818377535,0.9968606276846772
M1,7.785130400934215e-05,j_130,1.0,Terminated,685036.0,685101.0,0.4971090390669555,0.1936548754088102,0.99684797530255
R3_2,0.0,j_130,1.0,Terminated,685036.0,685109.0,0.4971090390669555,0.31821225237818096,0.9968606276846772
R3_2,0.0,j_131,1.0,Terminated,292097.0,292104.0,0.4971090390669555,0.25265573818377535,0.9967562455321275
R2_1,0.0,j_131,1.0,Terminated,292097.0,292103.0,0.4971090390669555,0.31821225237818096,0.9967546639843615
M1,0.0,j_131,1.0,Terminated,292097.0,292103.0,0.4971090390669555,0.1936548754088102,0.9967546639843615
M1,0.005916699104710004,j_137,1.0,Terminated,253346.0,253348.0,0.4971090390669555,0.1936548754088102,0.996748337793298
R2_1,0.0,j_137,1.0,Terminated,253346.0,253348.0,0.4971090390669555,0.25265573818377535,0.996748337793298
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,0.0,j_138,10.0,Failed,243772.0,243775.0,0.4971090390669555,0.06254184701999888,0.9967499193410638
R9_8,0.0007785130400934216,j_139,1.0,Terminated,184260.0,184281.0,0.4971090390669555,0.31821225237818096,0.9967783872008501
M5,7.785130400934215e-05,j_139,1.0,Terminated,184260.0,184265.0,0.4971090390669555,0.1936548754088102,0.9967530824365957
J11_9_10,0.0009342156481121058,j_139,1.0,Terminated,184260.0,184281.0,0.4971090390669555,0.38376876657258663,0.9967783872008501
R7_6,0.0,j_139,1.0,Terminated,184260.0,184261.0,0.4971090390669555,0.25265573818377535,0.996746756245532
R2_1,0.0,j_139,1.0,Terminated,184260.0,184261.0,0.4971090390669555,0.25265573818377535,0.996746756245532
J8_2_3_4_5_7,0.0007785130400934216,j_139,1.0,Terminated,184260.0,184279.0,0.4971090390669555,0.38376876657258663,0.9967752241053184
R12_11,0.0009342156481121058,j_139,1.0,Terminated,184260.0,184283.0,0.4971090390669555,0.25265573818377535,0.9967815502963819
M6,0.0,j_139,1.0,Terminated,184260.0,184260.0,0.4971090390669555,0.1936548754088102,0.9967451746977661
M4,0.0001557026080186843,j_139,1.0,Terminated,184260.0,184262.0,0.4971090390669555,0.1936548754088102,0.996748337793298
M3,0.0001557026080186843,j_139,1.0,Terminated,184260.0,184264.0,0.4971090390669555,0.1936548754088102,0.9967515008888298
M10,0.0,j_139,1.0,Terminated,184260.0,184261.0,0.4971090390669555,0.1936548754088102,0.996746756245532
M1,0.0,j_139,1.0,Terminated,184260.0,184260.0,0.4971090390669555,0.1936548754088102,0.9967451746977661
R3_2,0.0,j_142,1.0,Terminated,413895.0,413897.0,0.4971090390669555,0.25265573818377535,0.996748337793298
R2_1,0.0,j_142,1.0,Terminated,413895.0,413897.0,0.4971090390669555,0.31821225237818096,0.996748337793298
M1,7.785130400934215e-05,j_142,1.0,Terminated,413895.0,413896.0,0.4971090390669555,0.1936548754088102,0.996746756245532
M1,0.0014013234721681588,j_144,1.0,Terminated,158363.0,158373.0,0.2456635586004333,0.12809836121440454,0.9967609901754252
R2_1,0.0,j_144,1.0,Terminated,158363.0,158687.0,0.2456635586004333,0.12809836121440454,0.9972575961739195
R3_2,0.0,j_144,1.0,Terminated,158363.0,158691.0,0.2456635586004333,0.12809836121440454,0.9972639223649832
M3,0.025068119891008173,j_145,1.0,Terminated,260031.0,260301.0,0.2456635586004333,0.38376876657258663,0.9971721925945607
R2_1,0.0029583495523550015,j_145,1.0,Terminated,260031.0,260225.0,0.2456635586004333,0.25265573818377535,0.9970519949643518
M1,0.0008563643441027637,j_145,1.0,Terminated,260031.0,260181.0,0.2456635586004333,0.25265573818377535,0.9969824068626519
J4_2_3,0.03939275982872713,j_145,1.0,Terminated,260031.0,260576.0,0.2456635586004333,0.25265573818377535,0.9976071182301847
J5_1_4,0.0001557026080186843,j_146,1.0,Terminated,104607.0,104611.0,0.4971090390669555,0.38376876657258663,0.9967515008888298
M2,0.0,j_146,1.0,Terminated,104607.0,104607.0,0.4971090390669555,0.1936548754088102,0.9967451746977661
M1,7.785130400934215e-05,j_146,1.0,Terminated,104607.0,104611.0,0.4971090390669555,0.1936548754088102,0.9967515008888298
M4_3,0.0,j_146,1.0,Terminated,104607.0,104609.0,0.4971090390669555,0.1936548754088102,0.996748337793298
