timestamp,machine_id,cpu_usage_percent,memory_usage_percent,disk_usage_percent,cpu_load_1min,cpu_load_5min,cpu_load_15min
39600,265,0.43930868102694154,0.2724125917143338,0.76064905798827,0.4186046598338156,0.4554973860912249,0.39452015320544437
42600,770,0.8971061153390884,0.8013153159332886,0.361561900365588,0.8761627946192835,0.8138452682633543,0.8083545424789026
40800,776,0.577572345247814,0.5835929421988626,0.40567947502477797,0.5459302284522954,0.5485747686029451,0.613714647529973
42900,393,0.8283762178561238,0.7774316403267503,0.36511156137524214,0.9023255965147183,0.9598603525086505,1.0
39600,610,0.7475884272133949,0.7860851668402384,0.3803245048131,0.779069766523629,0.7609075110504294,0.6580326572969537
39600,719,0.7853697685393921,0.8566978275210322,0.35801218132195645,0.8418604711126724,0.8214077891563168,0.707740693271942
39600,723,0.763263674522013,0.9068881915105478,0.3625761030432234,0.8127906924609619,0.8219895360429684,0.7053451044929641
40200,742,0.6310289415492302,0.7597784784572614,0.35750508965504546,0.5802325519589067,0.6393251968577622,0.6885761429520825
41100,109,0.4590032132782841,0.55590169960956,0.34736306288376084,0.4354651228033542,0.4438627146641855,0.46159604506143975
39900,866,0.566318329008588,0.6632052646441029,0.3270791060577253,0.5354651276547031,0.6166375786989444,0.5586165739237099
42300,884,0.8319935566725821,0.7687781138129159,0.3235294450480709,1.0,0.9284467973537248,0.9401107945246571
42600,1221,0.6945337770390486,0.6812045749680806,0.5324543260831679,0.7517441805791725,0.6998254860590539,0.6370714239579155
39900,1285,0.7624598282662656,1.0,0.524847854365507,0.7686046435469668,0.8452588678016429,0.833508013348093
40500,1068,0.4212218719522868,0.6112841847885113,0.8874239090466599,0.3994186065900704,0.45840606504397097,0.5280730654232448
42900,1023,0.5864147997206017,0.6704741973382504,0.8924949224348383,0.5924418676416601,0.57940663235115,0.5250785937268094
42300,1011,0.6724276523564767,0.6895119398225109,0.8722109656088025,0.6872093054607824,0.8004654005597227,0.8179368290617999
42900,1105,0.4485530662944036,0.30944963792063357,0.8189655668534278,0.439534883607489,0.5008726002186334,0.49872736844776805
41100,477,0.28818327739055716,0.21426099151802352,0.8291074969056432,0.27790697485042104,0.288539846675163,0.3274442327930781
41100,569,0.6008842316484123,0.8463135851411219,0.5983773066659864,0.5726744168286364,0.5584642215631653,0.6173079907205986
41700,574,0.7005627159523312,0.7954309374465052,0.7251521577243766,0.6825581470867879,0.6468877288461291,0.6334780579219536
41100,342,0.4505627049325662,0.7082035206477131,0.31186616261986744,0.4313953619968938,0.4514252466531341,0.5089085265248556
41400,1032,0.7479903503412685,0.732433357914348,0.9863083315613536,0.8988372221891642,0.8400232900701794,0.7275041265098577
40200,800,0.07194534000318088,0.3838698523803146,0.31947263433752837,0.07616279184605097,0.07504362987223473,0.06992065210444086
41700,664,0.5868167381808709,0.7310487905024148,0.3676470197072609,0.5453488308835984,0.5299592787862322,0.5334630916318513
41700,1,0.6089228321986517,0.717203169208283,0.3422920494955829,0.5465116149326203,0.5340314293191458,0.5400509065189122
42300,67,0.6177652790050407,0.5209414979169715,0.7393509178309482,0.6372093030348173,0.5433391575846866,0.4849528443353173
40800,84,0.5791800760904987,0.7282796688848485,0.7576065079898476,0.6354651103287262,0.6329261142587543,0.44782153237165717
42000,929,0.5956591696548643,0.5884389017299327,0.35243407626940326,0.5366279227932599,0.518324607358611,0.5448420498106604
39600,434,0.4224276566687054,0.3970231899696917,0.31947263433752837,0.39709303294667786,0.44502618624493484,0.3813445005865851
40800,438,0.19654340896927325,0.32641051608432897,0.3042595941780658,0.17093023243726635,0.18440953962212425,0.25198383732040736
40800,439,0.24115755463110106,0.31810313142339147,0.21805275349081643,0.21395348621293725,0.22396742913176643,0.2801317570406968
41700,471,0.43046623422055263,0.38040844705660865,0.309330607566244,0.3680232487507813,0.3280977361838745,0.3100763654894029
40500,530,0.3058681710037368,0.24368293677021768,0.3067951492316895,0.26220930147525323,0.2990110576168576,0.3442132114682613
39900,135,0.42323151825644634,0.3281412187461819,0.3067951492316895,0.37558140051477257,0.44269924308285435,0.4837550670789323
41700,555,0.6583601282245461,0.8605053548911277,0.2890466507402082,0.6639534914105768,0.632926125353577,0.6173079792967326
41700,198,0.6241961563789944,0.7365870601477245,0.6769776756355753,0.5639534865586465,0.51483421480659,0.44842042671058496
41400,1136,0.6073151243539576,0.7684319653584271,0.5552738379628274,0.6034883660096937,0.5700989040856091,0.5855667163864166
42300,1146,0.6668006519030615,0.7680858433113453,0.5425963528569883,0.6860465214117606,0.66201281501658,0.6101212929166793
40200,1244,0.604099678000984,0.7487019523719036,0.5299188677511494,0.5895348797964308,0.6358347932103369,0.6801916564685111
39900,219,0.517282963776966,0.7618553031655038,0.8646044938886056,0.5308139692795457,0.5991855826532079,0.6005389949111137
39600,229,0.8565112661199847,0.755624776223885,0.3727180330954388,0.8372093016485614,0.8464223393818106,0.7364874959090899
42300,259,0.48794212313068974,0.6195915628468183,0.3727180330954388,0.47616277521272526,0.49680046078170603,0.4316514537464364
40200,1287,0.49397106971037097,0.6209761170541823,0.5172413826453103,0.39505814422760455,0.1566317603420163,0.0
