machine_id,time_stamp ,cpu_util_percent,mem_util_percent,net_in,net_out, disk_io_percent
m_1956,654490,0.5434782608695652,0.9278350515463918,0.8589633201308765,0.7891787439613527,5
m_2011,221920,0.6304347826086957,0.8247422680412372,0.7926640261753056,0.6506280193236715,3
m_2055,352620,0.22826086956521738,0.9484536082474228,0.6571379369726191,0.536231884057971,3
m_1999,199900,0.6521739130434783,0.9278350515463918,0.7640778370931633,0.7232850241545893,7
m_2075,652330,0.42391304347826086,0.9381443298969072,0.9576373342517651,0.8272463768115942,4
m_2082,12870,0.19565217391304346,0.711340206185567,0.7384191493025659,0.7103381642512077,8
m_1947,362280,0.6630434782608695,0.9278350515463918,0.8291716893404512,0.7538164251207728,14
m_2036,110110,0.6956521739130435,0.8556701030927836,0.7322197348028242,0.6956521739130435,10
m_1987,37220,0.44565217391304346,0.8969072164948454,0.6914069226795246,0.657584541062802,8
m_1981,611050,0.5217391304347826,0.9072164948453608,0.9369726192526261,0.8092753623188406,5
m_1948,330220,0.2934782608695652,0.9587628865979382,0.8212502152574478,0.8115942028985507,5
m_1943,204690,0.5108695652173912,0.865979381443299,0.6998450146375065,0.6088888888888889,16
m_2046,298820,0.4782608695652174,0.88659793814433,0.7616669536765971,0.7259903381642512,13
m_1935,114270,0.44565217391304346,0.9381443298969072,0.7391079731358705,0.6144927536231883,5
m_1935,370150,0.5543478260869565,0.9587628865979382,0.8341656621319097,0.6954589371980676,14
m_2004,626240,0.9021739130434783,0.9793814432989691,0.7273979679696918,0.5584541062801932,7
m_2067,231260,0.3913043478260869,0.8969072164948454,0.6967453073876356,0.6222222222222222,6
m_1936,340450,0.32608695652173914,0.9484536082474228,0.768038574134665,0.6888888888888889,5
m_1986,380040,0.40217391304347827,0.9381443298969072,0.050800757706216636,0.034782608695652174,15
m_1946,456100,0.043478260869565216,0.7938144329896908,0.2891338040296194,0.23806763285024155,1
m_2016,137510,0.2826086956521739,0.9278350515463918,0.605648355433098,0.4827053140096618,6
m_1951,294320,0.4782608695652174,0.88659793814433,0.7275701739280179,0.6817391304347826,7
m_2056,163130,0.05434782608695652,0.8969072164948454,0.39417943860857585,0.3335265700483092,1
m_1968,544710,0.5217391304347826,0.9278350515463918,0.6509385224728775,0.5085990338164251,16
m_2032,488780,0.2826086956521739,0.9587628865979382,0.7132770793869468,0.5657971014492753,2
m_2041,499580,0.16304347826086957,0.9587628865979382,0.7194764938866884,0.5742995169082125,3
m_2041,458550,0.8152173913043478,0.9484536082474228,0.7100051661787498,0.5648309178743961,33
m_2048,600730,0.46739130434782605,0.865979381443299,0.8641294988806613,0.8570048309178744,3
m_1953,619960,0.4891304347826087,0.8969072164948454,0.8403650766316514,0.7907246376811594,31
m_1934,235180,0.44565217391304346,0.9587628865979382,0.6535216118477699,0.5516908212560386,7
m_2071,428730,0.8804347826086957,0.9690721649484536,0.9047701050456345,0.8144927536231883,4
m_1980,283900,0.0,0.041237113402061855,0.00034441191665231615,0.0003864734299516908,0
m_1979,161910,0.2717391304347826,0.9278350515463918,0.6342345445152402,0.542415458937198,4
m_1934,617580,0.358695652173913,0.8144329896907216,0.7819872567590838,0.6655072463768115,6
m_2074,69990,0.41304347826086957,0.9175257731958764,0.6714310315136904,0.6345893719806763,7
m_1939,500560,0.2717391304347826,0.845360824742268,0.8264163940072327,0.7551690821256037,6
m_2066,592070,0.2826086956521739,0.9175257731958764,0.8088513862579645,0.7016425120772947,5
m_2060,170390,0.43478260869565216,0.8969072164948454,0.7339417943860856,0.7161352657004831,10
m_2079,229840,0.42391304347826086,0.865979381443299,0.6328568968486309,0.49777777777777776,4
m_2020,419290,0.22826086956521738,0.9690721649484536,0.7492681246771138,0.6467632850241546,4
m_1991,518770,0.25,0.9896907216494846,0.9059755467539177,0.8057971014492754,3
m_1976,123030,0.42391304347826086,0.8247422680412372,0.6199414499741691,0.5428019323671497,3
m_1971,547590,0.07608695652173914,0.32989690721649484,0.006371620458067849,0.00927536231884058,1
m_1949,279210,0.3804347826086956,0.9587628865979382,0.7218873773032547,0.661256038647343,10
m_2005,433930,0.3804347826086956,0.9175257731958764,0.7859479938005854,0.6869565217391304,3
m_1960,527530,0.43478260869565216,0.9072164948453608,0.8851386257964525,0.7638647342995168,4
m_1970,673810,0.4891304347826087,0.9484536082474228,0.8253831582572757,0.8073429951690821,9
m_2068,597150,0.2391304347826087,0.865979381443299,0.8243499225073186,0.7076328502415458,3
m_2052,209310,0.5869565217391304,0.865979381443299,0.6752195625968659,0.5543961352657005,17
m_1964,233280,0.43478260869565216,0.9381443298969072,0.7239538488031686,0.6935265700483092,4
m_1994,557140,0.41304347826086957,0.9690721649484536,0.7666609264680558,0.6753623188405797,9
m_1991,551510,0.5217391304347826,0.9278350515463918,0.919407611503358,0.8166183574879227,10
m_2033,642580,0.6630434782608695,0.9381443298969072,0.8996039262958498,0.853719806763285,16
m_2034,87390,0.33695652173913043,0.8969072164948454,0.7106939900120545,0.5926570048309179,3
m_2005,105750,0.4891304347826087,0.8969072164948454,0.667814706388841,0.5719806763285025,6
m_1962,427610,0.31521739130434784,0.9793814432989691,0.8188393318408816,0.7087922705314009,5
m_2013,530730,0.3913043478260869,0.9484536082474228,0.8257275701739281,0.8154589371980676,39
m_1940,46930,0.32608695652173914,0.9278350515463918,0.7275701739280179,0.6158454106280193,5
m_1938,539750,0.7282608695652174,0.9278350515463918,0.834510074048562,0.6407729468599033,15
m_1975,658860,0.010869565217391304,0.030927835051546393,0.00017220595832615808,0.0003864734299516908,0
m_1954,548950,0.5978260869565217,0.9381443298969072,0.9113139314620285,0.9082125603864734,7
m_2022,350220,0.3804347826086956,0.9381443298969072,0.763561219218185,0.6740096618357488,5
m_2081,602630,0.25,0.8762886597938144,0.8861718615464095,0.771207729468599,7
m_2060,643700,0.5869565217391304,0.9690721649484536,0.9054589288789392,0.8908212560386474,17
m_2049,103700,0.0,0.0,0.0,0.0,0
m_2041,204280,0.4891304347826087,0.9278350515463918,0.628551747890477,0.5004830917874395,11
m_1933,130010,0.07608695652173914,0.9484536082474228,0.39624591010848975,0.35594202898550725,1
m_1998,684690,0.6304347826086957,0.9484536082474228,0.03840192870673325,0.033429951690821254,2
m_1975,266720,0.0,0.030927835051546393,0.00017220595832615808,0.0003864734299516908,0
m_2008,654630,0.532608695652174,0.9896907216494846,0.8531083175477872,0.7584541062801932,5
m_1960,680420,0.358695652173913,0.9484536082474228,0.9485104184604787,0.8191304347826087,7
m_2037,275600,0.40217391304347827,0.9484536082474228,0.7387635612192182,0.6413526570048308,4
m_2070,567610,0.2717391304347826,0.9793814432989691,0.5405545031858102,0.6307246376811594,3
m_1932,580270,0.5434782608695652,0.711340206185567,0.8114344756328569,0.7039613526570048,37
m_2026,37370,0.31521739130434784,0.8041237113402062,0.6705700017220595,0.6446376811594202,2
m_2012,223990,0.358695652173913,0.9278350515463918,0.7888754950921302,0.6483091787439612,15
m_2068,559140,0.4782608695652174,0.9381443298969072,0.8140175650077492,0.6981642512077295,6
m_2004,181420,0.19565217391304346,0.88659793814433,0.5963492336834855,0.461256038647343,5
