M1,1.0,j_52,1.0,Terminated,545783.0,545784.0,50.0,0.2
M1,1.0,j_53,1.0,Terminated,546934.0,546950.0,50.0,0.2
M1,1.0,j_60,1.0,Terminated,274091.0,274102.0,100.0,0.2
M1,1.0,j_65,1.0,Terminated,416794.0,416794.0,100.0,0.2
M2,1.0,j_66,1.0,Terminated,178509.0,178513.0,50.0,0.3
J3_1_2,1.0,j_66,1.0,Terminated,178509.0,178533.0,50.0,0.3
M1,4.0,j_66,1.0,Terminated,178509.0,178522.0,50.0,0.39
M1,1.0,j_67,1.0,Terminated,618233.0,618234.0,100.0,0.2
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,1.0,j_69,10.0,Failed,243225.0,243228.0,100.0,0.1
M1,1.0,j_73,1.0,Terminated,363607.0,363608.0,100.0,0.3
R3_2,1.0,j_73,1.0,Terminated,363607.0,363608.0,100.0,0.49
R2_1,1.0,j_73,1.0,Terminated,363607.0,363608.0,100.0,0.49
R4_3,1.0,j_73,1.0,Terminated,363607.0,363608.0,100.0,0.49
R5_4,1.0,j_73,1.0,Terminated,363607.0,363608.0,100.0,0.39
R3_2,1.0,j_76,1.0,Terminated,633313.0,633318.0,100.0,0.49
R4_3,1.0,j_76,1.0,Terminated,633313.0,633318.0,100.0,0.39
M1,11.0,j_76,1.0,Terminated,633313.0,633318.0,100.0,0.3
R2_1,5.0,j_76,1.0,Terminated,633313.0,633318.0,100.0,0.49
R2_1,1.0,j_78,1.0,Terminated,175026.0,175026.0,100.0,0.39
M1,1.0,j_78,1.0,Terminated,175026.0,175026.0,100.0,0.3
J7_5_6,3.0,j_79,1.0,Terminated,349657.0,349662.0,100.0,0.59
M4_1_2_3,3.0,j_79,1.0,Terminated,349657.0,349662.0,100.0,0.3
M5,1.0,j_79,1.0,Terminated,349657.0,349658.0,100.0,0.3
R2_5,1.0,j_79,1.0,Terminated,349657.0,349658.0,100.0,0.39
M6,1.0,j_79,1.0,Terminated,349657.0,349660.0,100.0,0.3
R1_5,1.0,j_79,1.0,Terminated,349657.0,349658.0,100.0,0.39
R8_4_7,7.0,j_79,1.0,Terminated,349657.0,349663.0,100.0,0.39
R3_5,1.0,j_79,1.0,Terminated,349657.0,349659.0,100.0,0.39
R2_1,1.0,j_81,1.0,Terminated,443709.0,443732.0,50.0,0.2
M1,1.0,j_81,1.0,Terminated,443709.0,443729.0,50.0,0.2
R2_1,1.0,j_82,1.0,Terminated,609606.0,609624.0,50.0,0.2
M3,108.0,j_82,1.0,Terminated,609606.0,609661.0,50.0,0.59
J4_2_3,61.0,j_82,1.0,Terminated,609606.0,609715.0,50.0,0.39
M1,1.0,j_82,1.0,Terminated,609606.0,609616.0,50.0,0.39
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,1.0,j_85,6.0,Running,474800.0,0.0,,
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,1.0,j_85,6.0,Running,474800.0,0.0,,
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1.0,j_85,6.0,Terminated,474800.0,475186.0,10.0,0.05
R4_3,3.0,j_87,1.0,Terminated,444270.0,444277.0,100.0,0.39
M3_2,3.0,j_87,1.0,Terminated,444270.0,444277.0,100.0,0.3
M1,1.0,j_87,1.0,Terminated,444270.0,444271.0,100.0,0.3
R2_1,1.0,j_87,1.0,Terminated,444270.0,444272.0,100.0,0.39
task_LTI0MjU2NDM0NTE3NDI0MzkwNjE=,1.0,j_88,3.0,Terminated,248934.0,249248.0,100.0,0.39
task_MzQwMDQzNjY0MzkwNzU2ODYyMg==,1.0,j_88,3.0,Terminated,248934.0,248938.0,100.0,0.39
R2_1,1.0,j_89,1.0,Terminated,212262.0,212262.0,100.0,0.49
R3_2,1.0,j_89,1.0,Terminated,212262.0,212286.0,100.0,0.39
M1,1.0,j_89,1.0,Terminated,212262.0,212262.0,100.0,0.3
R9_8,11.0,j_90,1.0,Terminated,645686.0,645718.0,100.0,0.39
M2,1.0,j_90,1.0,Terminated,645686.0,645687.0,100.0,0.3
R6_5,1.0,j_90,1.0,Terminated,645686.0,645692.0,100.0,0.74
M4,1.0,j_90,1.0,Terminated,645686.0,645687.0,100.0,0.3
M5,1.0,j_90,1.0,Terminated,645686.0,645688.0,100.0,0.3
R7_6,1.0,j_90,1.0,Terminated,645686.0,645693.0,100.0,0.49
R3_2,1.0,j_90,1.0,Terminated,645686.0,645688.0,100.0,0.49
M1,8.0,j_90,1.0,Terminated,645686.0,645702.0,100.0,0.3
J8_1_3_4_7,11.0,j_90,1.0,Terminated,645686.0,645718.0,100.0,0.59
M1,4.0,j_92,1.0,Terminated,100502.0,100510.0,50.0,0.39
MergeTask,1.0,j_94,1.0,Terminated,360144.0,360147.0,100.0,0.1
R7_9,1.0,j_95,1.0,Terminated,412627.0,412629.0,100.0,0.49
J4_3_9,3.0,j_95,1.0,Terminated,412627.0,412640.0,100.0,0.59
R15_14,1.0,j_95,1.0,Terminated,412627.0,412640.0,100.0,0.39
